"","LONG","LAT"
"1",2004215.46284183,-849053.508150309
"2",2631566.04088498,-464389.627789567
"3",2558323.57774779,-1388807.76131921
"4",1950053.16867345,-334020.302446935
"5",2930532.60299456,257833.169207827
"6",2712101.02893865,-431295.433785932
"7",2012553.59180561,-878886.470255905
"8",2316476.04993552,-1416967.32402864
"9",2806904.0436364,79142.1730461225
"10",1866195.80348994,539898.253008812
"11",2000028.80464842,211493.857323711
"12",2876499.93450135,432837.3621108
"13",1779695.71150559,238462.926440962
"14",2659744.90645474,-416689.984774649
"15",2113661.76445507,-404970.691312253
"16",2393154.52688138,-1071934.46847803
"17",1754989.19437888,-101932.724127056
"18",2581198.37619125,-1323031.93495283
"19",2494456.97319996,-1193876.14892594
"20",1796524.46946452,-367812.462850721
"21",2388939.46663081,113709.811682357
"22",2633668.78301377,459220.160574291
"23",1912467.66812301,-216967.418677517
"24",2364204.05207924,551170.350021635
"25",2377203.587247,6308.71361693036
"26",1757817.28450616,381084.301103741
"27",1387511.76232738,-735231.435578315
"28",2250265.21276483,-224674.675099673
"29",2639181.32588374,-21352.6819750208
"30",1605819.05557489,-317497.249413601
"31",2211223.95376044,-886532.188492088
"32",1997700.1049824,-875077.278772143
"33",2379601.93669813,-750050.750862156
"34",2025800.19537456,-297823.450932782
"35",2316582.22848558,-192545.688631952
"36",2353232.78904303,-575320.290134325
"37",1149659.84395001,-765839.137670043
"38",2241358.64979437,-71543.8314485911
"39",2129517.616504,265421.008817588
"40",2587976.83035802,326898.334962679
"41",2108923.3168604,-1179074.14212069
"42",1678355.41014201,-775394.870157249
"43",1957934.68995802,-454115.065093855
"44",1902135.81348511,351914.928572723
"45",2063216.36050468,-1115375.54164441
"46",1760078.52086642,-873202.635848558
"47",1948985.71614966,373119.892528251
"48",2651110.67521932,-790214.645549363
"49",2474122.81564809,316708.262887967
"50",1961209.16829558,353809.816836219
"51",2282623.89760885,516267.502064932
"52",2122961.30043896,579634.464098593
"53",2745687.02279909,-1083537.02918894
"54",1777989.23089534,609065.855910769
"55",2552704.70403567,-129618.095448654
"56",2175288.60917499,22164.57164652
"57",1552348.90010563,-261541.464991559
"58",1930760.39241035,-16330.120476937
"59",1868113.99897954,377314.091559278
"60",2021369.51629537,-942746.207099312
"61",2416785.93336757,-991155.740171354
"62",2333716.53291792,303809.944564788
